"fielding.start","fielding.end","mid_date","pollster","sample","what","y"
2016-06-28,2016-07-10,2016-07-04,"Essential",1000,"LNP",41
2016-07-05,2016-07-17,2016-07-11,"Essential",1000,"LNP",39
2016-07-13,2016-07-24,2016-07-18,"Essential",955,"LNP",39
2016-07-21,2016-08-01,2016-07-26,"Essential",908.5,"LNP",39
2016-07-29,2016-08-08,2016-08-03,"Essential",897.5,"LNP",40
2016-08-05,2016-08-15,2016-08-10,"Essential",895.5,"LNP",39
2016-08-12,2016-08-22,2016-08-17,"Essential",901,"LNP",39
2016-08-25,2016-08-28,2016-08-26,"Newspoll (online & robo)",1696,"LNP",41
2016-08-19,2016-08-29,2016-08-24,"Essential",898.5,"LNP",40
2016-08-26,2016-09-05,2016-08-31,"Essential",917,"LNP",39
2016-09-08,2016-09-11,2016-09-09,"Newspoll (online & robo)",1680,"LNP",41
2016-09-02,2016-09-12,2016-09-07,"Essential",928,"LNP",38
2016-09-09,2016-09-19,2016-09-14,"Essential",915,"LNP",37
2016-09-22,2016-09-25,2016-09-23,"Newspoll (online & robo)",1662,"LNP",41
2016-09-16,2016-09-26,2016-09-21,"Essential",900,"LNP",39
2016-09-23,2016-10-03,2016-09-28,"Essential",890,"LNP",40
2016-10-06,2016-10-09,2016-10-07,"Newspoll (online & robo)",1622,"LNP",39
2016-09-30,2016-10-10,2016-10-05,"Essential",884.5,"LNP",38
2016-10-07,2016-10-17,2016-10-12,"Essential",887.5,"LNP",37
2016-10-20,2016-10-23,2016-10-21,"Newspoll (online & robo)",1673,"LNP",39
2016-10-14,2016-10-24,2016-10-19,"Essential",891.5,"LNP",38
2016-10-21,2016-10-31,2016-10-26,"Essential",893,"LNP",38
2016-11-03,2016-11-06,2016-11-04,"Newspoll (online & robo)",1846,"LNP",39
2016-10-28,2016-11-07,2016-11-02,"Essential",895.5,"LNP",38
2016-11-04,2016-11-14,2016-11-09,"Essential",893,"LNP",37
2016-11-17,2016-11-20,2016-11-18,"Newspoll (online & robo)",1846,"LNP",38
2016-11-11,2016-11-21,2016-11-16,"Essential",906.5,"LNP",38
2016-11-24,2016-11-26,2016-11-25,"Ipsos",1403,"LNP",36
2016-11-18,2016-11-28,2016-11-23,"Essential",921,"LNP",39
2016-12-01,2016-12-04,2016-12-02,"Newspoll (online & robo)",1629,"LNP",39
2016-11-24,2016-12-05,2016-11-29,"Essential",916.5,"LNP",38
2016-12-02,2016-12-12,2016-12-07,"Essential",898,"LNP",37
2016-12-08,2016-12-18,2016-12-13,"Essential",889.5,"LNP",37
2017-01-12,2017-01-12,2017-01-12,"ReachTEL",2126,"LNP",37.1
2017-01-20,2017-01-23,2017-01-21,"Essential",906.5,"LNP",35
2017-01-27,2017-01-30,2017-01-28,"Essential",895,"LNP",35
2017-01-26,2017-02-05,2017-01-31,"Essential",892.5,"LNP",36
2017-02-02,2017-02-05,2017-02-03,"Newspoll (online & robo)",1734,"LNP",35
2017-02-02,2017-02-12,2017-02-07,"Essential",896.5,"LNP",36
2017-02-09,2017-02-19,2017-02-14,"Essential",901.5,"LNP",36
2017-02-23,2017-02-26,2017-02-24,"Newspoll (online & robo)",1582,"LNP",34
2017-02-16,2017-02-27,2017-02-21,"Essential",1000,"LNP",37
2017-02-21,2017-03-06,2017-02-27,"Essential",893,"LNP",37
2017-02-28,2017-03-13,2017-03-06,"Essential",896,"LNP",35
2017-03-16,2017-03-19,2017-03-17,"Newspoll (online & robo)",1819,"LNP",37
2017-03-08,2017-03-20,2017-03-14,"Essential",901.5,"LNP",34
2017-03-22,2017-03-25,2017-03-23,"Ipsos",1400,"LNP",33
2017-03-15,2017-03-26,2017-03-20,"Essential",1000,"LNP",35
2017-03-22,2017-04-02,2017-03-27,"Essential",1000,"LNP",37
2017-03-30,2017-04-02,2017-03-31,"Newspoll (online & robo)",1708,"LNP",36
2017-03-29,2017-04-09,2017-04-03,"Essential",1000,"LNP",37
2017-04-05,2017-04-16,2017-04-10,"Essential",1000,"LNP",36
2017-04-12,2017-04-23,2017-04-17,"Essential",1000,"LNP",37
2017-04-20,2017-04-23,2017-04-21,"Newspoll (online & robo)",1686,"LNP",36
2017-04-20,2017-05-01,2017-04-25,"Essential",1000,"LNP",38
2017-04-27,2017-05-08,2017-05-02,"Essential",1000,"LNP",37
2017-05-11,2017-05-11,2017-05-11,"ReachTEL",2369,"LNP",34
2017-05-10,2017-05-13,2017-05-11,"Ipsos",1401,"LNP",37
2017-05-11,2017-05-14,2017-05-12,"Newspoll (online & robo)",1716,"LNP",36
2017-05-04,2017-05-15,2017-05-09,"Essential",1000,"LNP",37
2017-05-11,2017-05-22,2017-05-16,"Essential",1000,"LNP",37
2017-05-25,2017-05-28,2017-05-26,"Newspoll (online & robo)",1716,"LNP",36
2017-05-18,2017-05-29,2017-05-23,"Essential",1000,"LNP",38
2017-05-25,2017-06-06,2017-05-31,"Essential",1000,"LNP",39
2017-06-01,2017-06-13,2017-06-07,"Essential",1000,"LNP",38
2017-06-15,2017-06-18,2017-06-16,"Newspoll (online & robo)",1786,"LNP",36
2017-06-08,2017-06-19,2017-06-13,"Essential",1000,"LNP",38
2017-06-22,2017-06-25,2017-06-23,"YouGov/Fifty Acres",1000,"LNP",34
2017-06-16,2017-06-26,2017-06-21,"Essential",1000,"LNP",39
2017-06-29,2017-06-29,2017-06-29,"ReachTEL",2389,"LNP",36.4
2017-06-23,2017-07-03,2017-06-28,"Essential",1000,"LNP",38
2017-07-06,2017-07-09,2017-07-07,"Newspoll (online & robo)",1597,"LNP",35
2017-07-06,2017-07-09,2017-07-07,"YouGov/Fifty Acres",1000,"LNP",36
2017-06-30,2017-07-10,2017-07-05,"Essential",1000,"LNP",36
2017-07-07,2017-07-17,2017-07-12,"Essential",1000,"LNP",36
2017-07-19,2017-07-19,2017-07-19,"ReachTEL",2300,"LNP",37.2
2017-07-20,2017-07-23,2017-07-21,"Newspoll (online & robo)",1677,"LNP",36
2017-07-20,2017-07-23,2017-07-21,"YouGov/Fifty Acres",1005,"LNP",36
2017-07-14,2017-07-24,2017-07-19,"Essential",1000,"LNP",38
2017-07-21,2017-07-31,2017-07-26,"Essential",1000,"LNP",38
2017-08-03,2017-08-06,2017-08-04,"Newspoll (online & robo)",1639,"LNP",36
2017-08-03,2017-08-06,2017-08-04,"YouGov/Fifty Acres",1076,"LNP",34
2017-07-28,2017-08-07,2017-08-02,"Essential",1000,"LNP",37
2017-08-04,2017-08-14,2017-08-09,"Essential",1000,"LNP",37
2017-08-17,2017-08-20,2017-08-18,"Newspoll (online & robo)",1675,"LNP",35
2017-08-17,2017-08-20,2017-08-18,"YouGov/Fifty Acres",1012,"LNP",34
2017-08-11,2017-08-21,2017-08-16,"Essential",1000,"LNP",37
2017-08-23,2017-08-23,2017-08-23,"ReachTEL",2832,"LNP",34.5
2017-08-18,2017-08-28,2017-08-23,"Essential",1000,"LNP",37
2017-08-31,2017-09-03,2017-09-01,"Newspoll (online & robo)",1606,"LNP",37
2017-08-31,2017-09-03,2017-09-01,"YouGov/Fifty Acres",1032,"LNP",34
2017-08-25,2017-09-04,2017-08-30,"Essential",1000,"LNP",36
2017-09-06,2017-09-09,2017-09-07,"Ipsos",1400,"LNP",35
2017-09-01,2017-09-10,2017-09-05,"Essential",1000,"LNP",36
2017-09-07,2017-09-17,2017-09-12,"Essential",1000,"LNP",38
2017-09-14,2017-09-17,2017-09-15,"YouGov/Fifty Acres",1056,"LNP",34
2017-09-14,2017-09-24,2017-09-19,"Essential",1000,"LNP",37
2017-09-21,2017-09-24,2017-09-22,"Newspoll (online & robo)",1695,"LNP",36
2017-09-28,2017-09-28,2017-09-28,"ReachTEL",4888,"LNP",34.5
2017-09-21,2017-10-01,2017-09-26,"Essential",1000,"LNP",36
2017-09-28,2017-10-01,2017-09-29,"YouGov/Fifty Acres",954,"LNP",34
2017-09-28,2017-10-08,2017-10-03,"Essential",1000,"LNP",36
2017-10-05,2017-10-15,2017-10-10,"Essential",1000,"LNP",37
2017-10-12,2017-10-15,2017-10-13,"Newspoll (online & robo)",1583,"LNP",36
2017-10-12,2017-10-15,2017-10-13,"YouGov/Fifty Acres",1067,"LNP",34
2017-10-13,2017-10-23,2017-10-18,"Essential",1000,"LNP",37
2017-10-25,2017-10-25,2017-10-25,"ReachTEL",2399,"LNP",37.1
2017-10-26,2017-10-29,2017-10-27,"Newspoll (online & robo)",1623,"LNP",35
2017-10-26,2017-10-29,2017-10-27,"YouGov/Fifty Acres",1009,"LNP",36
2017-10-20,2017-10-30,2017-10-25,"Essential",1000,"LNP",36
2017-10-27,2017-11-06,2017-11-01,"Essential",1000,"LNP",37
2017-11-09,2017-11-12,2017-11-10,"Newspoll (online & robo)",1624,"LNP",34
2017-11-09,2017-11-12,2017-11-10,"YouGov/Fifty Acres",1034,"LNP",34
2017-11-03,2017-11-13,2017-11-08,"Essential",1000,"LNP",36
2017-11-10,2017-11-20,2017-11-15,"Essential",1000,"LNP",35
2017-11-23,2017-11-26,2017-11-24,"YouGov/Fifty Acres",1034,"LNP",32
2017-11-17,2017-11-27,2017-11-22,"Essential",1000,"LNP",36
2017-11-28,2017-11-28,2017-11-28,"ReachTEL",4571,"LNP",35.4
2017-11-30,2017-12-02,2017-12-01,"Ipsos",1401,"LNP",34
2017-11-30,2017-12-03,2017-12-01,"Newspoll (online & robo)",1560,"LNP",36
2017-11-24,2017-12-04,2017-11-29,"Essential",1000,"LNP",35
2017-12-01,2017-12-11,2017-12-06,"Essential",1000,"LNP",35
2017-12-14,2017-12-17,2017-12-15,"Newspoll (online & robo)",1669,"LNP",36
2017-12-08,2017-12-18,2017-12-13,"Essential",1000,"LNP",37
2018-01-11,2018-01-15,2018-01-13,"Essential",1038,"LNP",38
2018-01-25,2018-01-25,2018-01-25,"ReachTEL",2400,"LNP",36.6
2018-01-26,2018-01-28,2018-01-27,"Essential",1028,"LNP",36
2018-02-01,2018-02-04,2018-02-02,"Newspoll (online & robo)",1616,"LNP",38
2018-02-08,2018-02-11,2018-02-09,"Essential",1026,"LNP",37
2018-02-15,2018-02-18,2018-02-16,"Newspoll (online & robo)",1632,"LNP",36
2018-02-22,2018-02-22,2018-02-22,"ReachTEL",2400,"LNP",33
2018-02-22,2018-02-25,2018-02-23,"Essential",1028,"LNP",35
2018-03-01,2018-03-04,2018-03-02,"Newspoll (online & robo)",1657,"LNP",37
2018-03-03,2018-03-11,2018-03-07,"Morgan F2F",1400,"LNP",36
2018-03-08,2018-03-11,2018-03-09,"Essential",1025,"LNP",36
2018-03-17,2018-03-25,2018-03-21,"Morgan F2F",1417,"LNP",40
2018-03-22,2018-03-25,2018-03-23,"Newspoll (online & robo)",1597,"LNP",37
